0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_reim.svg HTTP/1.1" 200 1914
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_domestic.svg HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "POST /APP_TRIP_TJDX/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "GET /APP_TRIP_TJDX/prjPages/id0216511741357b7253999c9ccd878a4bbc173720.html HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "GET /APP_TRIP_TJDX/prjPages/prjJSs/id0216511741357b7253999c9ccd878a4bbc173720.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "GET /APP_TRIP_TJDX/%7B%7BTYPE_ICO%7D%7D HTTP/1.1" 404 1658
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "GET /APP_TRIP_TJDX/prjPages/prjCss/id0216511741357b7253999c9ccd878a4bbc173720.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 4288
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "POST /APP_TRIP_TJDX/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 21502
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:48 +0800] "POST /APP_TRIP_TJDX/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 352
